show_title,company,language,genre,venue,city,region,date,start_time,price_min,price_max,ticketing_platform,source_url,collected_on,notes
Hole,Naatak,Hindi,Play,Starbright Theater,Campbell,South Bay,2026-01-23,19:30,,,Own site,https://www.naatak.org/2026-hole-page/,2026-08-13,Naatak original; ran Jan 23 - Feb 15 2026 across multiple weekends - split into one row per performance date and confirm language
Ghashiram Kotwal,Naatak,Hindi,Musical,,,South Bay,2025-01-24,,,,Own site,https://indiacurrents.com/naatak-brings-cult-classic-ghasiram-kotwal-to-the-bay-area/,2026-08-13,10 shows over three weekends Jan 24 - Feb 10; Hindi with some Marathi dialogue and songs; English subtitles
Halo Patelbhai Ni Jaan Ma,Ik And Kricel,Gujarati,Standup,India Community Center (ICC),Milpitas,South Bay,2026-05-05,19:00,15,25,Sulekha,https://ca.sulekha.com/events-santa-clara-ca,2026-08-13,Billed as a Gujarati comedy natak
Tamil Puthandu Kondattam 2026,Bharati Tamil Sangam,Tamil,Other,Aria University USA,Milpitas,South Bay,2026-04-25,16:00,16,20,Sulekha,https://ca.sulekha.com/events-santa-clara-ca,2026-08-13,Cultural program rather than a scripted play
Season 31 production,Naatak,,Play,Cubberley Theater,Palo Alto,Peninsula,2026-11-13,,,,Own site,https://www.naatak.org/portfolio/season-31/,2026-08-13,PLACEHOLDER - runs Nov 13-29 2026; confirm title language and per-date schedule before using
